Course,Title,Credits,Instructor,Location,Days,Start,End,Type
"15657 ART 110 1","Two-Dimensional Foundations","4","R Simmons","CFAC 107 CFAC 110 CFAC 112","TR TR TR","11:00","12:15P 11:00","LECTURE"
"16149 ART 120 1","Three-Dimensional Foundations","4","A Hope","CFAC 101","MW","1 :00","2 :15P","LECTURE"
"16150 ART 120 2","Three-Dimensional Foundations","4","A Hope","CFAC 101","MW","2 :30","3 :45P","LECTURE"
"15651 ART 223 1","Graphic Design I","4","D Hargrove","CFAC 116","TR","08:00","09:15A","LECTURE"
"15653 ART 230 1","Digital Media/CriticalPractice","4","D Roe","CFAC 103 CFAC 116","W W","1 :00","3 :30P 1 :00","LECTURE"
"15622 ART 251 1","Painting I","4","D Hargrove","CFAC 112 CFAC 110","W W","1 :00","3 :30P 1 :00","LECTURE"
"15654 ART 325 1","Intergenerational Photgrphy_CE","4","D Roe","CFAC 116 CFAC 103","TR TR","09:30","10:45A 09:30","LECTURE"
"15620 ART 342 1","Sculpture II","4","A Hope","CFAC 101","MW","4 :00","5 :15P","LECTURE"
"15623 ART 351 1","Painting II","4","D Hargrove","CFAC 112 CFAC 110","W W","1 :00","3 :30P 1 :00","LECTURE"
"15655 ART 450 1","Senior Seminar","4","R Simmons","CFAC 103 CFAC 111","TR TR","2 :00","3 :50P 2 :00","LECTURE"
"15575 BIO 121 1","General Biology II","6","A Fearing J Pieczynski","BUSH 105","MWF W","08:00","08:50A 1 :00","LECTURE"
"15583 BIO 121 2","General Biology II","6","J Pieczynski","BUSH 105","MWF M","10:00","10:50A 2 :00","LECTURE"
"15592 BIO 121 3","General Biology II","6","S Guerrier","BUSH 105","MWF T","10:00","10:50A 2 :00","LECTURE"
"15593 BIO 121 4","General Biology II","6","S Guerrier","BUSH 105","MWF R","11:00","11:50A 2 :00","LECTURE"
"15594 BIO 210 1","Oceanography","4","A Fearing","","TR","11:00","12:15P","LECTURE"
"15605 BIO 229 1","Microbiology","6","B Santiago-Narvaez","BUSH 368","MWF TR","09:00","09:50A 11:00","LECTURE"
"15606 BIO 237 1","Vertebrate Zoology","6","B Fokidis","BUSH 101","TR T","11:00","12:15P 2 :00","LECTURE"
"15607 BIO 244 1","Journal Club","2","B Fokidis","","F","1 :00","2 :15P","LECTURE"
"15608 BIO 244 2","Journal Club","2","P Rogers","","MW","09:00","09:50A","LECTURE"
"15609 BIO 246 1","Human Physiology","6","S Kanani","BUSH 101","MW","3 :00","5 :30P","LECTURE"
"15610 BIO 295 1","Topic: Limnology","2","P Rogers","","MW","1 :00","1 :50P","LECTURE"
"15611 BIO 308 1","Genetics","6","A Fearing","BUSH 364","MWF M","10:00","10:50A 2 :00","LECTURE"
"16286 BIO 308 2","Genetics","6","A Fearing","BUSH 364","MWF W","10:00","10:50A 2 :00","LECTURE"
"15612 BIO 311 1","Plant Physiology","6","P Stephenson","BUSH 364","MWF T","10:00","10:50A 2 :00","LECTURE"
"15613 BIO 329 1","Microbial Physiology","6","B Santiago-Narvaez","","MWF W","11:00","11:50A 2 :00","LECTURE"
"15614 BIO 330 1","Fld Botany & FL Ecosytem w/Lab","6","P Stephenson","BUSH 268","MWF R","12:00","12:50P 2 :00","LAB"
"15615 BIO 341 1","Molecular Biology","6","J Pieczynski","BUSH 364","MWF R","12:00","12:50P 2 :00","LECTURE"
"16173 BIO 395 1","Tc:Landmrk Discvrs in Cell Bio","2","S Guerrier","","F","1 :00","2 :15P","LECTURE"
"15616 BIO 440 1","SR Sem: Topics in Biology","4","B Fokidis","","TR","09:30","10:45A","LECTURE"
"15617 BIO 440 2","SR Sem: Topics in Biology","4","P Rogers","","TR","09:30","10:45A","LECTURE"
"15639 BUS 230 1","Financial/Managerial Acctng","4","D Corddry","","TR","3 :30","4 :45P","LECTURE"
"15642 BUS 230 4","Financial/Managerial Acctng","4","D Caban","","MWF","11:00","11:50A","LECTURE"
"15643 BUS 230 5","Financial/Managerial Acctng","4","R Phillips","","TR","11:00","12:15P","LECTURE"
"15644 BUS 230 6","Financial/Managerial Acctng","4","R Phillips","","TR","2 :00","3 :15P","LECTURE"
"15645 BUS 230 7","Financial/Managerial Acctng","4","R Phillips","","TR","3 :30","4 :45P","LECTURE"
"15689 BUS 233 1","Micro & Macro Economics","4","J Pereira","","MWF","1 :00","1 :50P","LECTURE"
"15690 BUS 233 2","Micro & Macro Economics","4","J Pereira","","MWF","10:00","10:50A","LECTURE"
"15691 BUS 233 3","Micro & Macro Economics","4","J Pereira","","MWF","11:00","11:50A","LECTURE"
"15692 BUS 233 4","Micro & Macro Economics","4","J Shideler","","TR","2 :00","3 :15P","LECTURE"
"15693 BUS 233 5","Micro & Macro Economics","4","J Shideler","","TR","3 :30","4 :45P","LECTURE"
"15702 BUS 236 1","Statistics for Business","4","V Ahmed","","TR","08:00","09:15A","LECTURE"
"15703 BUS 236 2","Statistics for Business","4","V Ahmed","","TR","09:30","10:45A","LECTURE"
"15704 BUS 236 3","Statistics for Business","4","S Al-Haddad","","MWF","10:00","10:50A","LECTURE"
"15705 BUS 236 4","Statistics for Business","4","S Al-Haddad","","MWF","11:00","11:50A","LECTURE"
"15706 BUS 236 5","Statistics for Business","4","F Hassanmirzaei","","TR","2 :00","3 :15P","LECTURE"
"15707 BUS 236 6","Statistics for Business","4","F Hassanmirzaei","","TR","3 :30","4 :45P","LECTURE"
"15674 BUS 245 1","Intl Organizational Behavior","4","T Loch","","MW","2 :30","3 :45P","LECTURE"
"16170 BUS 245 2","Intl Organizational Behavior","4","V Alves","","MWF","08:00","08:50A","LECTURE"
"15676 BUS 245 3","Intl Organizational Behavior","4","Y Shuumarjav","","MWF","10:00","10:50A","LECTURE"
"15677 BUS 245 4","Intl Organizational Behavior","4","Y Shuumarjav","","MWF","11:00","11:50A","LECTURE"
"15678 BUS 245 5","Intl Organizational Behavior","4","Y Shuumarjav","","MWF","12:00","12:50P","LECTURE"
"15679 BUS 245 6","Intl Organizational Behavior","4","T Loch","","MW","4 :00","5 :15P","LECTURE"
"16172 BUS 295 1","Tc: Dev Emotional Intelligence","4","T Loch","","MW","1 :00","2 :15P","LECTURE"
"15626 BUS 319 1","Business Law & Ethics","4","M Whitesides","","MW","1 :00","2 :15P","LECTURE"
"15660 BUS 321 1","Global Entrepreneurship","4","A Althuis","","MWF","10:00","10:50A","LECTURE"
